model,X,y,best_param,best_score,R2score,RMSE,MAE,time
Gradient Boosting,building_data_energy,Yenergy,"{'m__learning_rate': 0.05, 'm__n_estimators': 200, 's__percentile': 100}",0.7744749491365651,0.7458394318260728,0.652428994562972,0.5005510348857514,33.440120697021484
Lasso,building_data_energy,Yenergy,"{'m__alpha': 0.1, 's__percentile': 50}",0.4442171512362871,0.4529043825209714,0.9572178416186534,0.7322303150804282,0.620025634765625
Ridge,building_data_energy,Yenergy,"{'m__alpha': 1.0, 's__percentile': 90}",0.7644594311132306,0.7646467980636658,0.6278258922131639,0.4843162066319706,0.6192667484283447
Random Forest,building_data_energy,Yenergy,"{'m__max_depth': None, 'm__n_estimators': 200, 's__percentile': 100}",0.7669908456760943,0.7311623198004269,0.6710026518321793,0.5068249955048192,33.41047239303589
SVR,building_data_energy,Yenergy,"{'m__kernel': 'rbf', 's__percentile': 70}",0.7659737556711961,0.7654392351999624,0.626768052257603,0.4709900635323603,1.200058937072754
XGBoost,building_data_energy,Yenergy,"{'m__learning_rate': 0.05, 'm__n_estimators': 200, 's__percentile': 90}",0.7746490316339105,0.754059628293697,0.6417916751603998,0.493030502479966,40.38554573059082
XGBoost,building_data_energy,YenergyNorm,"{'m__learning_rate': 0.05, 'm__n_estimators': 200, 's__percentile': 90}",0.7749114282873593,0.7541287001327582,0.0715545454536076,0.0545792978573388,44.47657060623169
XGBoost,building_data_energy,Yghg,"{'m__learning_rate': 0.05, 'm__n_estimators': 200, 's__percentile': 90}",0.821303863778389,0.8111397911121435,0.6166908148546131,0.4663578339134672,32.672157287597656
XGBoost,building_data_energy,YghgNorm,"{'m__learning_rate': 0.05, 'm__n_estimators': 300, 's__percentile': 90}",0.8240242078876221,0.815291746055776,0.0649014006514886,0.0493610206047852,32.41560983657837
Lasso,building_data_energy,Yghg,"{'m__alpha': 0.1, 's__percentile': 90}",0.4574629710887402,0.4683312041057795,1.0347080624033986,0.794467646300409,0.6979997158050537
Gradient Boosting,building_data_energy,Yenergy,"{'m__learning_rate': 0.05, 'm__n_estimators': 200, 's__percentile': 90}",0.7685925644304447,0.716436661378328,0.6891348411053856,0.538083017874019,29.08901572227478
Gradient Boosting,building_data_energy,Yenergy,"{'m__learning_rate': 0.05, 'm__n_estimators': 300, 's__percentile': 100}",0.7640533193557391,0.7500826910445599,0.6784818343683809,0.5072346673766456,29.057624578475952
Gradient Boosting,building_data_energy,YenergyNorm,"{'m__learning_rate': 0.05, 'm__n_estimators': 300, 's__percentile': 100}",0.7573871792774709,0.7439720289343372,0.0800172526915057,0.0604351426290721,29.383970737457275
Gradient Boosting,building_data_energy,Yghg,"{'m__learning_rate': 0.05, 'm__n_estimators': 500, 's__percentile': 70}",0.8186445655981516,0.7995658598081943,0.6897070691626899,0.5269224581808346,40.40844798088074
XGBoost,building_data_energy,Yghg,"{'m__learning_rate': 0.1, 'm__n_estimators': 100, 's__percentile': 50}",0.814580696000043,0.767087948408686,0.7434894478011876,0.5524055068923599,41.51748871803284
XGBoost,building_data_clean,YenergyNorm,"{'m__learning_rate': 0.05, 'm__n_estimators': 300, 's__percentile': 100}",0.7506194344487486,0.6875087611029198,0.0884013407559152,0.0666388011082943,39.88931846618652
XGBoost,_,__,"{'m__learning_rate': 0.05, 'm__n_estimators': 300, 's__percentile': 70}",0.8784906255878419,0.8399303175072788,0.5399033804982467,0.4083792866997011,25.49831914901733
XGBoost,_,Yghg_star,"{'m__learning_rate': 0.05, 'm__n_estimators': 500, 's__percentile': 100}",0.8864258592674579,0.8583947144779429,0.5695088267722808,0.4260257886089597,24.30387568473816
Gradient Boosting,_,Yenergy_star,"{'m__learning_rate': 0.1, 'm__n_estimators': 500, 's__percentile': 100}",0.8851568013051386,0.8866782474483318,0.4542742773334012,0.3456927494906519,20.54430365562439
XGBoost,energy_star,Yenergy_star,"{'m__learning_rate': 0.05, 'm__n_estimators': 300, 's__percentile': 70}",0.8784906255878419,0.8399303175072788,0.5399033804982467,0.4083792866997011,18.48634910583496
XGBoost,energy_star,Yghg_star,"{'m__learning_rate': 0.05, 'm__n_estimators': 500, 's__percentile': 100}",0.8864258592674579,0.8583947144779429,0.5695088267722808,0.4260257886089597,21.85299706459045
XGBoost,energy_star_clean,Yghg_star,"{'m__learning_rate': 0.1, 'm__n_estimators': 500, 's__percentile': 90}",0.8767248050129381,0.8748001549469631,0.5355038817075098,0.3862640764749184,21.032729148864746
